ID	章节ID	解锁节点ID	类型	解锁条件1类型	解锁条件1参数1	解锁条件1参数2	解锁条件2类型	解锁条件2参数1	解锁条件2参数2
10140101	101401	10140191	2	3	10140103				
10140102	101401	10140192	2	3	10140113				
10140103	101401	10140193	2	3	10140114				
10140104	101401	10140194	2	3	10140116				
10140105	101401	10140195	2	3	10140119				
10140111	101401	10140191	1	3	10140103				
10140112	101401	10140192	1	3	10140113				
10140113	101401	10140193	1	3	10140114				
10140114	101401	10140194	1	3	10140116				
10140115	101401	10140195	1	3	10140119				
10360101	103601	10360191	2	3	10360104				
10360102	103601	10360192	2	3	10360108				
10360103	103601	10360193	2	3	10360119				
10360104	103601	10360195	2	3	10360109				
10360105	103601	10360196	2	3	10360113				
10360106	103601	10360197	2	3	10360197				
10360111	103601	10360191	1	3	10360104				
10360112	103601	10360192	1	3	10360108				
10360113	103601	10360193	1	3	10360119				
10360114	103601	10360195	1	3	10360109				
10360115	103601	10360196	1	3	10360113				
10360116	103601	10360197	1	3	10360197				
10340101	103401	10340191	2	3	10340191				
10340102	103401	10340192	2	3	10340104				
10340103	103401	10340193	2	3	10340106				
10340104	103401	10340194	2	3	10340107				
10340105	103401	10340195	2	3	10340110				
10340106	103401	10340196	2	3	10340112				
10340111	103401	10340191	1	3	10340191				
10340112	103401	10340192	1	3	10340104				
10340113	103401	10340193	1	3	10340106				
10340114	103401	10340194	1	3	10340107				
10340115	103401	10340195	1	3	10340110				
10340116	103401	10340196	1	3	10340112				
10320101	103201	10320191	2	3	10320104				
10320102	103201	10320192	2	3	10320107				
10320103	103201	10320193	2	3	10320193				
10320104	103201	10320194	2	3	10320194				
10320105	103201	10320195	2	3	10320195				
10320106	103201	10320196	2	3	10320196				
10320111	103201	10320191	1	3	10320104				
10320112	103201	10320192	1	3	10320107				
10320113	103201	10320193	1	3	10320193				
10320114	103201	10320194	1	3	10320194				
10320115	103201	10320195	1	3	10320195				
10320116	103201	10320196	1	3	10320196				
