ID	AbilityName	[参数信息]1参数名	[参数信息]1参数	[参数信息]2参数名	[参数信息]2参数	[参数信息]3参数名	[参数信息]3参数	[参数信息]4参数名	[参数信息]4参数	[参数信息]5参数名	[参数信息]5参数	参数名列表	参数值列表	是否刷新所有AbilitySpecials
100001	Activity_Rogue_ElementAddHurt_SSR	Rogue_ElementAddHurt_SSR	0.3									Rogue_ElementAddHurt_SSR	0.3	
100002	Activity_Rogue_ElementAddHurt_SR	Rogue_ElementAddHurt_SR_Level01	0.1	Rogue_ElementAddHurt_SR_Level02	0.2	Rogue_ElementAddHurt_SR_Level03	0.3					Rogue_ElementAddHurt_SR_Level01,Rogue_ElementAddHurt_SR_Level02,Rogue_ElementAddHurt_SR_Level03	0.1,0.2,0.3	
100003	Activity_Rogue_ElementReactionAttack_Explode	Explode_CJB_CD	10	CJB_Damage	5							Explode_CJB_CD,CJB_Damage	10,5	
100004	Activity_Rogue_ElementReactionAttack_Superconductor	Explode_CJB_CD	10	CJB_Damage	5							Explode_CJB_CD,CJB_Damage	10,5	
100005	Activity_Rogue_ElementReactionAttack_Melt	Explode_CJB_CD	10	CJB_Damage	5							Explode_CJB_CD,CJB_Damage	10,5	
100006	Activity_Rogue_ElementReactionAttack_Stream	Explode_CJB_CD	10	CJB_Damage	5							Explode_CJB_CD,CJB_Damage	10,5	
100007	Activity_Rogue_ElementReactionAttack_Shock	Explode_CJB_CD	10	CJB_Damage	5							Explode_CJB_CD,CJB_Damage	10,5	
100008	Activity_Rogue_AreaNoEnemyAtkSpeedUp	AtkSpeed	0.2	EnemyCount	3							AtkSpeed,EnemyCount	0.2,3	
100009	Activity_Rogue_NormalAttackDamageUp_R	PER_NormalAttackDamageUp	0.08	NormalAttackDamageUp_MAXLV	2							PER_NormalAttackDamageUp,NormalAttackDamageUp_MAXLV	0.08,2	
100010	Activity_Rogue_ExtraAttackDamageUp_R	PER_ExtraAttackDamageUp	0.08	ExtraAttackDamageUp_MAXLV	2							PER_ExtraAttackDamageUp,ExtraAttackDamageUp_MAXLV	0.08,2	
100011	Activity_Rogue_FallingAttackDamageUp_R	PER_FallingAttackDamageUp	0.12	FallingAttackDamageUp_MAXLV	2							PER_FallingAttackDamageUp,FallingAttackDamageUp_MAXLV	0.12,2	
100012	Activity_Rogue_Elemental_ArtDamageUp_R	PER_Elemental_ArtDamageUp	0.08	Elemental_ArtDamageUp_MAXLV	2							PER_Elemental_ArtDamageUp,Elemental_ArtDamageUp_MAXLV	0.08,2	
100013	Activity_Rogue_DefenceRatio_R	PER_DefenceRatio	0.15	DefenceRatio_MAXLV	2							PER_DefenceRatio,DefenceRatio_MAXLV	0.15,2	
100015	Activity_Rogue_HighHp_DamageUp_SR	HighHp_Threshold	0.7	HighHp_NormalExtraFallingDamageUp_Rate	0.1	HighHp_ElementalArtDamageUp_Rate	0.1	HighHp_ElementalBurstDamageUp_Rate	0.1			HighHp_Threshold,HighHp_NormalExtraFallingDamageUp_Rate,HighHp_ElementalArtDamageUp_Rate,HighHp_ElementalBurstDamageUp_Rate	0.7,0.1,0.1,0.1	
100016	Activity_Rogue_LowHp_DamageUp_SR	LowHp_Threshold	0.5	LowHp_NormalExtraFallingDamageUp_Rate	0.1	LowHp_ElementalArtDamageUp_Rate	0.1	LowHp_ElementalBurstDamageUp_Rate	0.1			LowHp_Threshold,LowHp_NormalExtraFallingDamageUp_Rate,LowHp_ElementalArtDamageUp_Rate,LowHp_ElementalBurstDamageUp_Rate	0.5,0.1,0.1,0.1	
100017	Activity_Rogue_DamageUp_SubHurtDown_SR	SubHurtDown_Rate	-0.1	DamageUp_Rate	0.15							SubHurtDown_Rate,DamageUp_Rate	-0.1,0.15	
100018	Activity_Rogue_OtherNumerical_R	NormalAttack_MAXLV	0	PER_NormalAttack	0	NormalAttack_LV	0					NormalAttack_MAXLV,PER_NormalAttack,NormalAttack_LV	0,0,0	
100019	LevelEntityTowerBuff_HighEnergyAtkUp_Multiple	ThinkTime	1	MoreEnergyRatio	0.5	LessEnergyRatio	0.3	Actor_AttackRatio	0.065	MaxLayer	10	ThinkTime,MoreEnergyRatio,LessEnergyRatio,Actor_AttackRatio,MaxLayer,MaxLayer,MaxLayer	1,0.5,0.3,0.065,10,10,10	
100021	LevelEntityTowerBuff_HighEnergyTriggerAoe	CJB_MoreEnergyRatio	0.5	Damage01	5	Damage02	8.33					CJB_MoreEnergyRatio,Damage01,Damage02	0.5,5,8.33	
100022	LevelEntity_ElementAddHurt_Water_V22	ElementAddHurt_Water	0.6									ElementAddHurt_Water	0.6	
100023	Activity_Rogue_ElemnentalArt_GenerateBall	Rougue_GenerateBall_CD	4									Rougue_GenerateBall_CD	4	
100024	Activity_Rogue_ElementAddHurt_R	PER_ElementAddHurt	0.02	ElementAddHurt_MAXLV_R	10							PER_ElementAddHurt,ElementAddHurt_MAXLV_R	0.02,10	
100025	Activity_Rogue_HighStaminaAreaAttack_SR	StaminaRatio	0.7	CJB_Damage	8.4	Rougue_HighStamina_CD	5					StaminaRatio,CJB_Damage,Rougue_HighStamina_CD	0.7,8.4,5	
100026	Activity_Rogue_DownPhysicalSubHurt_SR	Bufftime	12	PhysicalSubHurt	-0.2							Bufftime,PhysicalSubHurt	12,-0.2	
100030	ActivityAbility_MistTrial_Level_1	Damage_Ratio_Lv1	0.6	Damage_Ratio_Lv2	0.8	Damage_Ratio_Lv3	1	Damage_Ratio_Lv4	1.2			Damage_Ratio_Lv1,Damage_Ratio_Lv2,Damage_Ratio_Lv3,Damage_Ratio_Lv4	0.6,0.8,1,1.2	
100031	ActivityAbility_MistTrial_Level_2	Damage_Ratio_Lv1	1	Damage_Ratio_Lv2	1.5	Damage_Ratio_Lv3	2	Damage_Ratio_Lv4	2.5	CD_Interval	3	Damage_Ratio_Lv1,Damage_Ratio_Lv2,Damage_Ratio_Lv3,Damage_Ratio_Lv4,CD_Interval,CD_Minus,Energy	1,1.5,2,2.5,3,1,4	
100032	ActivityAbility_MistTrial_Level_3	Damage_Ratio_Lv1	10	Damage_Ratio_Lv2	13.3	Damage_Ratio_Lv3	16.7	Damage_Ratio_Lv4	20	CD_Interval	3	Damage_Ratio_Lv1,Damage_Ratio_Lv2,Damage_Ratio_Lv3,Damage_Ratio_Lv4,CD_Interval	10,13.3,16.7,20,3	
100033	ActivityAbility_MistTrial_Level_4	Damage_Ratio_Lv1	0.24	Damage_Ratio_Lv2	0.36	Damage_Ratio_Lv3	0.48	Damage_Ratio_Lv4	0.6	Duration	8	Damage_Ratio_Lv1,Damage_Ratio_Lv2,Damage_Ratio_Lv3,Damage_Ratio_Lv4,Duration	0.24,0.36,0.48,0.6,8	
