ID	SceneTagName	场景ID	默认是否生效	是否不走loading	条件1类型	条件1参数1	条件1参数2	条件2类型	条件2参数1	条件2参数2
101	Hdj	3			1	1001				
102	JadeChamber	3	1		2	10008	1			
103	JadeChamber	3			2	10009	1			
104	Hdj	3			4	2002		5	1110311	
105	Fhj	3			4	2003		5	39604	
106	SummerTime	4			4	2005		5	4001103	
107	KlinSeal	3	1							
108	SummerTime_High	4								
109	SummerTime_Low	4								
111	Ruinup	3								
112	QLFightPlatform	3								
113	Lmboss_01	3	1							
114	FlowerZone_01	3								
115	FlowerZone_02	3								
116	Lmboss_02	3								
117	LYDS_01	3	1							
118	LYDS_02	3								
119	Zyj	3								
120	AbyssalNight	5		1						
121	AbyssalIsle	5								
122	AbyssalEvent	5								
123	AbyssalEventNight	5								
124	WinterCamp	3			1	2009				
125	Hguan01	3	1							
126	Hguan02	3								
127	Hguan03	3								
128	RBQyg_01	3		1						
129	RBQyg_02	3		1						
130	RBQyg_03	3		1						
131	RBQyg_04	3		1						
133	RBQyg_Stage	3		1						
134	TongqueTemple_Old	3	1							
135	TongqueTemple_New	3								
136	Aby_LightOFF	7	1							
137	AbyIsle_Const	7	1							
138	AbyIsle_LightOFF	7	1							
139	HZD01	3	1							
140	HZD02	3								
141	CYJY_Phase1_ON	3	1	1						
142	CYJY_Phase1_OFF	3		1						
143	CYJY_Phase2_ON	6	1	1						
144	CYJY_Phase2_OFF	6		1						
145	CYJY_Phase3_ON	6	1	1						
146	CYJY_Phase3_OFF	6		1						
147	Irodori	3								
148	Aby_Event	7	1							
149	SHOPYamashiroKenta	3								
1001	Combine_Lyg	3								
1002	Combine_Mdc	3								
1003	Aby_LightOFF	5								
1004	Aby_LightON	5								
1005	AbyIsle_Const	5								
1006	AbyIsle_LightON	5								
1007	AbyIsle_LightOFF	5								
1009	AbyIsle_NotEvent	5								
1010	AbyIsle_NotEventLightOFF	5								
1011	Combine_RBQyg	3		1						
1027	Combine_Irodori	3								
1028	Aby_NotEvent	5								
1029	Aby_NotEventLightOFF	5								
1030	Combine_QldFight	3								
1031	MichiaeMatsuri_WQ_Default5	5	1							
1032	MichiaeMatsuri_WQ_Default7	7		1						
1033	MichiaeMatsuri_WQ_SideA	7		1						
1034	MichiaeMatsuri_WQ_SideB	7		1						
1061	CYJY_Twins2_Block_ON	6	1	1						
1062	CYJY_Twins2_Block_OFF	6		1						
1063	CYJY_Twins1_OFF	6	1	1						
1064	CYJY_Twins1_ON	6		1						
1068	Combine_SHOPYamashiroKenta	3								
